Order_ID,Optimized_Route
ORD_1,"[(3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (2, 12), (2, 13), (2, 14), (1, 14), (1, 15), (1, 16), (0, 16), (0, 17)]"
ORD_2,"[(0, 2), (1, 2), (1, 1), (2, 1), (2, 0)]"
ORD_3,"[(28, 0), (27, 0), (26, 0), (25, 0), (24, 0), (23, 0), (22, 0), (21, 0), (20, 0), (19, 0), (18, 0), (17, 0), (16, 0), (15, 0), (14, 0), (13, 0), (13, 1), (12, 1), (11, 1), (10, 1)]"
ORD_4,"[(18, 0), (17, 0), (16, 0)]"
ORD_5,"[(0, 12), (0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (4, 12), (5, 12), (6, 12), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9), (11, 9), (12, 9), (13, 9), (14, 9), (15, 9), (15, 10), (16, 10), (16, 9), (17, 9), (17, 8), (18, 8), (19, 8), (20, 8), (21, 8), (22, 8), (22, 9), (23, 9), (24, 9), (25, 9), (26, 9), (27, 9), (28, 9), (29, 9), (29, 8), (30, 8), (31, 8), (32, 8), (32, 9), (33, 9), (34, 9), (35, 9), (35, 10), (36, 10), (37, 10)]"
ORD_6,"[(6, 0), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (14, 3), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (18, 1), (19, 1), (19, 0), (20, 0), (21, 0), (22, 0), (23, 0), (24, 0), (25, 0), (26, 0), (27, 0), (28, 0), (29, 0), (30, 0), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (37, 0)]"
ORD_7,"[(17, 0), (18, 0), (18, 1), (18, 2), (18, 3), (17, 3), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (19, 8), (19, 9), (20, 9), (20, 10), (20, 11), (21, 11), (21, 12), (21, 13), (22, 13), (22, 14), (22, 15), (22, 16), (22, 17), (23, 17), (23, 18), (23, 19), (23, 20), (24, 20), (25, 20), (26, 20), (26, 21), (27, 21), (28, 21), (28, 22), (28, 23), (29, 23), (29, 24), (29, 25), (29, 26), (29, 27), (29, 28), (29, 29), (29, 30)]"
ORD_8,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (12, 3), (13, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (18, 7), (18, 8), (19, 8), (20, 8), (21, 8), (22, 8), (22, 9), (23, 9), (23, 10), (24, 10), (24, 11), (25, 11), (25, 12), (26, 12), (26, 13), (27, 13), (27, 14), (27, 15), (28, 15)]"
ORD_9,"[(0, 36), (0, 35), (1, 35), (1, 34), (1, 33), (2, 33), (3, 33), (4, 33), (4, 32), (5, 32), (5, 31), (5, 30), (5, 29), (5, 28), (4, 28), (4, 27), (3, 27), (3, 26), (3, 25), (2, 25), (2, 24), (2, 23), (2, 22), (2, 21), (1, 21), (0, 21)]"
ORD_10,"[(34, 6), (33, 6), (33, 7), (32, 7), (31, 7), (31, 8), (30, 8), (29, 8), (29, 9), (28, 9), (28, 10), (28, 11), (28, 12), (28, 13), (27, 13), (27, 14), (27, 15), (26, 15), (26, 16), (25, 16), (24, 16), (24, 17), (23, 17), (23, 18), (23, 19), (23, 20), (22, 20), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 23), (15, 23), (14, 23), (13, 23), (12, 23), (11, 23), (10, 23), (10, 24), (9, 24), (9, 25), (8, 25), (7, 25), (7, 26), (6, 26), (6, 27), (5, 27), (4, 27), (3, 27), (2, 27), (1, 27), (0, 27)]"
