Order_ID,Pickup_Location,Dropoff_Location,Distance,Delivery_Time_Window,Status
ORD_1,"(26.73349, 80.87461)","(26.5118, 80.97506)",5.05,2025-03-01 11:05:02,Pending
ORD_2,"(26.64653, 80.82282)","(26.72913, 80.63619)",4.2,2025-03-01 08:55:59,Pending
ORD_3,"(26.99027, 80.62373)","(26.80184, 80.81998)",4.63,2025-03-01 02:00:59,Pending
ORD_4,"(26.88191, 80.71176)","(26.86229, 80.75905)",9.55,2025-03-01 01:25:51,Pending
ORD_5,"(26.58213, 80.93085)","(27.0829, 80.91033)",1.51,2025-03-01 13:53:38,Pending
ORD_6,"(26.76531, 80.72958)","(27.07605, 80.7707)",1.66,2025-03-01 17:49:13,Pending
ORD_7,"(26.8749, 80.644)","(26.99307, 81.10788)",8.34,2025-03-01 22:16:11,Pending
ORD_8,"(26.60122, 80.51327)","(26.99242, 80.95454)",8.09,2025-03-01 19:52:02,Pending
ORD_9,"(26.66485, 81.1641)","(26.64615, 81.01765)",1.05,2025-03-01 14:44:05,Pending
ORD_10,"(27.04854, 80.86776)","(26.69768, 81.07652)",4.41,2025-03-01 09:51:19,Pending
ORD_11,"(26.64041, 80.81226)","(26.79703, 80.67318)",6.08,2025-03-01 19:40:53,Pending
ORD_12,"(26.56945, 81.07043)","(26.69281, 80.60921)",5.6,2025-03-01 14:47:23,Pending
ORD_13,"(26.67064, 80.78407)","(27.095, 80.93898)",6.82,2025-03-01 18:36:59,Pending
ORD_14,"(26.74447, 80.54322)","(26.74449, 80.97747)",6.66,2025-03-01 01:27:12,Pending
ORD_15,"(26.98207, 81.02133)","(27.04361, 81.04631)",7.18,2025-03-01 16:45:11,Pending
ORD_16,"(27.16574, 80.8442)","(26.70923, 81.05603)",4.61,2025-03-01 21:27:31,Pending
ORD_17,"(27.0603, 80.97905)","(26.63552, 81.04398)",9.16,2025-03-01 10:34:48,Pending
ORD_18,"(27.00529, 81.02583)","(26.65618, 80.95846)",6.16,2025-03-01 18:31:12,Pending
ORD_19,"(27.12395, 80.92118)","(26.95702, 80.69485)",6.49,2025-03-01 22:19:00,Pending
ORD_20,"(26.54599, 80.93775)","(26.95868, 80.64589)",3.24,2025-03-01 18:27:00,Pending
ORD_21,"(26.99731, 80.97351)","(27.06586, 80.85845)",6.73,2025-03-01 15:36:06,Pending
ORD_22,"(26.54098, 80.54988)","(26.65847, 80.56196)",4.44,2025-03-01 11:34:09,Pending
ORD_23,"(26.90433, 80.61873)","(26.66753, 80.83587)",6.41,2025-03-01 22:32:37,Pending
ORD_24,"(26.62574, 80.56571)","(26.96364, 81.05221)",2.9,2025-03-01 22:54:49,Pending
ORD_25,"(26.87496, 80.6819)","(26.82286, 80.56683)",3.59,2025-03-01 19:10:56,Pending
ORD_26,"(26.80355, 80.68156)","(26.60571, 81.09729)",7.93,2025-03-01 12:37:36,Pending
ORD_27,"(26.8599, 80.95643)","(26.86266, 81.0906)",8.09,2025-03-01 13:44:06,Pending
ORD_28,"(26.96636, 80.95979)","(27.13322, 80.56656)",8.6,2025-03-01 10:05:40,Pending
ORD_29,"(27.14829, 80.77598)","(26.91448, 80.68798)",4.57,2025-03-02 00:08:26,Pending
ORD_30,"(26.93461, 80.90886)","(26.57621, 80.92238)",8.74,2025-03-01 03:55:25,Pending
ORD_31,"(26.53674, 80.68985)","(26.8618, 81.07694)",5.9,2025-03-01 18:13:33,Pending
ORD_32,"(26.89438, 80.83559)","(26.89229, 80.63609)",5.56,2025-03-01 05:28:22,Pending
ORD_33,"(26.64741, 80.53014)","(26.80902, 80.70014)",8.01,2025-03-01 17:06:34,Pending
ORD_34,"(26.93628, 80.56132)","(27.07297, 81.03883)",3.93,2025-03-01 16:43:08,Pending
ORD_35,"(26.52095, 81.18149)","(26.9888, 80.72331)",9.64,2025-03-01 07:54:07,Pending
ORD_36,"(27.1081, 81.12421)","(27.00025, 80.50341)",5.84,2025-03-01 14:58:06,Pending
ORD_37,"(26.5055, 80.81811)","(27.08576, 80.88654)",5.44,2025-03-01 05:16:02,Pending
ORD_38,"(26.71263, 81.15409)","(27.09166, 81.07132)",7.29,2025-03-01 02:23:59,Pending
ORD_39,"(26.75383, 80.96944)","(26.75408, 80.59721)",9.24,2025-03-01 02:33:43,Pending
ORD_40,"(26.93214, 81.14636)","(26.60757, 80.97351)",6.16,2025-03-01 17:33:12,Pending
ORD_41,"(26.65378, 80.81023)","(26.55389, 80.91958)",6.79,2025-03-01 23:22:15,Pending
ORD_42,"(26.71057, 80.61278)","(26.65287, 81.15838)",7.31,2025-03-01 16:34:00,Pending
ORD_43,"(26.67537, 80.89148)","(27.14891, 81.11878)",1.47,2025-03-01 19:21:58,Pending
ORD_44,"(26.5243, 80.64477)","(26.80832, 81.1955)",4.69,2025-03-01 07:23:28,Pending
ORD_45,"(27.11506, 80.68403)","(27.06486, 80.91721)",3.07,2025-03-01 05:10:50,Pending
ORD_46,"(26.6565, 80.87927)","(26.68987, 80.67472)",9.38,2025-03-01 13:35:00,Pending
ORD_47,"(27.01417, 80.56634)","(26.99072, 81.14866)",6.87,2025-03-01 19:45:43,Pending
ORD_48,"(27.08104, 81.07189)","(27.02964, 80.56264)",5.79,2025-03-01 00:49:49,Pending
ORD_49,"(26.57496, 81.01999)","(26.81387, 80.6586)",3.13,2025-03-01 19:38:33,Pending
ORD_50,"(26.80969, 81.13708)","(26.98033, 81.0794)",1.2,2025-03-01 16:25:54,Pending
ORD_51,"(26.76437, 80.55592)","(26.89603, 80.64383)",7.74,2025-03-01 13:21:07,Pending
ORD_52,"(26.92874, 81.11384)","(26.77152, 80.83757)",2.18,2025-03-01 05:03:37,Pending
ORD_53,"(26.67578, 80.52534)","(26.82814, 80.56673)",5.97,2025-03-01 04:06:19,Pending
ORD_54,"(26.76821, 80.54946)","(27.1552, 80.92904)",4.71,2025-03-01 06:20:03,Pending
ORD_55,"(26.8041, 80.57181)","(26.934, 80.58283)",3.94,2025-03-01 07:34:01,Pending
ORD_56,"(26.7041, 80.55645)","(26.86081, 80.93196)",3.63,2025-03-01 04:01:11,Pending
ORD_57,"(27.13352, 80.99333)","(26.89012, 81.13995)",6.73,2025-03-01 18:29:31,Pending
ORD_58,"(27.11817, 80.59313)","(26.74289, 81.15149)",9.58,2025-03-01 11:53:42,Pending
ORD_59,"(26.62424, 80.5208)","(26.74605, 80.52431)",9.93,2025-03-01 19:53:28,Pending
ORD_60,"(26.85481, 80.97639)","(27.0325, 81.0535)",1.26,2025-03-01 09:50:47,Pending
ORD_61,"(27.01203, 80.87086)","(26.61277, 80.67967)",4.77,2025-03-01 05:17:40,Pending
ORD_62,"(26.57916, 80.57586)","(26.54613, 80.75251)",4.93,2025-03-01 07:41:20,Pending
ORD_63,"(26.66177, 81.06894)","(26.58451, 81.03955)",9.8,2025-03-01 07:21:50,Pending
ORD_64,"(26.52884, 80.59055)","(27.02262, 80.72783)",3.38,2025-03-01 18:53:34,Pending
ORD_65,"(26.78335, 81.07189)","(26.88179, 81.00196)",1.49,2025-03-01 05:32:27,Pending
ORD_66,"(26.58182, 80.65111)","(26.86235, 81.0881)",9.79,2025-03-02 00:19:53,Pending
ORD_67,"(26.68254, 81.14089)","(26.57478, 81.07056)",8.91,2025-03-01 18:17:00,Pending
ORD_68,"(26.81983, 81.12198)","(26.90672, 81.0389)",2.89,2025-03-01 06:09:23,Pending
ORD_69,"(26.8944, 80.53459)","(26.65807, 81.02251)",1.46,2025-03-01 16:59:34,Pending
ORD_70,"(27.14669, 80.78807)","(26.5848, 81.10111)",7.4,2025-03-01 08:43:23,Pending
ORD_71,"(27.04841, 80.9141)","(26.85814, 80.67573)",4.95,2025-03-01 07:43:00,Pending
ORD_72,"(26.79112, 80.7894)","(27.05983, 81.09755)",7.02,2025-03-01 18:07:48,Pending
ORD_73,"(27.11488, 80.71313)","(26.98876, 80.5605)",3.99,2025-03-01 22:40:42,Pending
ORD_74,"(26.68384, 80.77329)","(26.78372, 80.90739)",6.64,2025-03-01 13:04:33,Pending
ORD_75,"(26.7298, 80.88364)","(26.64749, 80.71888)",4.18,2025-03-01 15:28:40,Pending
ORD_76,"(27.05028, 80.87247)","(26.84597, 80.86603)",3.26,2025-03-01 19:14:28,Pending
ORD_77,"(26.63627, 80.84012)","(26.56527, 81.1878)",6.65,2025-03-01 04:37:52,Pending
ORD_78,"(26.69145, 81.08128)","(26.94731, 80.70239)",9.22,2025-03-01 01:46:56,Pending
ORD_79,"(26.9856, 80.94151)","(27.10642, 80.82491)",4.3,2025-03-01 20:29:05,Pending
ORD_80,"(26.88832, 80.6436)","(26.83063, 80.81717)",6.34,2025-03-01 16:26:04,Pending
ORD_81,"(26.84259, 80.654)","(26.70279, 81.10885)",8.5,2025-03-01 08:01:03,Pending
ORD_82,"(26.71646, 80.58019)","(27.1085, 80.92521)",5.27,2025-03-01 20:09:03,Pending
ORD_83,"(26.88999, 81.09531)","(26.66537, 81.15966)",9.51,2025-03-01 00:41:12,Pending
ORD_84,"(27.07365, 81.20226)","(26.74414, 80.81782)",8.62,2025-03-02 00:27:49,Pending
ORD_85,"(26.77888, 81.05722)","(27.05246, 81.19862)",4.66,2025-03-01 09:58:43,Pending
ORD_86,"(26.53192, 81.10543)","(26.94631, 81.18519)",5.15,2025-03-01 07:30:52,Pending
ORD_87,"(27.0292, 81.12493)","(27.12297, 80.78324)",7.22,2025-03-01 02:01:24,Pending
ORD_88,"(26.89624, 81.10278)","(26.53897, 80.55966)",8.12,2025-03-01 10:25:02,Pending
ORD_89,"(26.63291, 81.07026)","(26.9835, 81.19909)",6.83,2025-03-01 03:45:08,Pending
ORD_90,"(26.58126, 81.14195)","(26.86271, 80.70494)",9.78,2025-03-01 01:51:12,Pending
ORD_91,"(27.03252, 81.01048)","(26.9149, 80.5238)",2.37,2025-03-01 17:06:03,Pending
ORD_92,"(26.79378, 80.71557)","(27.06211, 80.66639)",3.48,2025-03-01 22:21:40,Pending
ORD_93,"(27.13843, 80.90384)","(27.01783, 81.06393)",5.75,2025-03-01 10:04:44,Pending
ORD_94,"(26.65069, 81.12622)","(27.09908, 81.08159)",9.56,2025-03-01 20:00:35,Pending
ORD_95,"(26.62315, 80.7098)","(27.1493, 81.18251)",7.89,2025-03-01 06:15:17,Pending
ORD_96,"(26.57961, 80.57699)","(26.56972, 81.18216)",4.19,2025-03-01 15:35:00,Pending
