Order_ID,Restaurant_ID,Customer_ID,Order_Time,Food_Prep_Time,Packaging_Time,Order_Value
ORD_1,REST_30,CUST_72,2025-03-01 10:28:02,14,8,298
ORD_2,REST_11,CUST_237,2025-03-01 08:18:59,19,3,122
ORD_3,REST_15,CUST_205,2025-03-01 01:32:59,9,4,229
ORD_4,REST_42,CUST_210,2025-03-01 01:00:51,5,5,147
ORD_5,REST_35,CUST_455,2025-03-01 13:26:38,6,6,445
ORD_6,REST_21,CUST_69,2025-03-01 17:25:13,7,2,103
ORD_7,REST_2,CUST_37,2025-03-01 21:42:11,11,8,274
ORD_8,REST_11,CUST_258,2025-03-01 19:23:02,10,4,476
ORD_9,REST_38,CUST_274,2025-03-01 14:15:05,8,6,273
ORD_10,REST_35,CUST_467,2025-03-01 09:24:19,7,5,299
ORD_11,REST_27,CUST_340,2025-03-01 19:10:53,11,4,325
ORD_12,REST_9,CUST_497,2025-03-01 14:17:23,5,10,334
ORD_13,REST_45,CUST_65,2025-03-01 17:56:59,20,5,258
ORD_14,REST_25,CUST_146,2025-03-01 00:49:12,20,3,122
ORD_15,REST_15,CUST_497,2025-03-01 16:17:11,9,4,280
ORD_16,REST_2,CUST_128,2025-03-01 20:50:31,13,9,384
ORD_17,REST_34,CUST_104,2025-03-01 10:04:48,5,10,407
ORD_18,REST_24,CUST_471,2025-03-01 18:05:12,6,5,126
ORD_19,REST_14,CUST_150,2025-03-01 21:40:00,20,4,494
ORD_20,REST_48,CUST_317,2025-03-01 17:45:00,17,10,279
ORD_21,REST_7,CUST_402,2025-03-01 14:58:06,18,5,121
ORD_22,REST_14,CUST_122,2025-03-01 10:57:09,13,9,409
ORD_23,REST_43,CUST_478,2025-03-01 21:56:37,17,4,441
ORD_24,REST_9,CUST_270,2025-03-01 22:18:49,13,8,170
ORD_25,REST_7,CUST_333,2025-03-01 18:36:56,16,3,483
ORD_26,REST_38,CUST_96,2025-03-01 11:56:36,18,8,401
ORD_27,REST_16,CUST_239,2025-03-01 13:04:06,17,8,253
ORD_28,REST_15,CUST_428,2025-03-01 09:41:40,7,2,313
ORD_29,REST_39,CUST_114,2025-03-01 23:35:26,12,6,282
