Rider_ID,Location,Availability,Max_Capacity
RIDER_1,"(27.08455, 80.97912)",Available,20
RIDER_2,"(26.62685, 80.85061)",Busy,20
RIDER_3,"(26.99025, 81.16005)",Available,20
RIDER_4,"(27.00481, 81.05614)",Busy,20
RIDER_5,"(26.54221, 80.66259)",Busy,20
RIDER_6,"(26.81553, 80.95495)",Available,20
RIDER_7,"(26.97819, 80.88246)",Available,20
RIDER_8,"(27.06437, 80.94625)",Available,20
RIDER_9,"(26.84877, 80.74907)",Available,20
RIDER_10,"(27.08664, 81.00783)",Busy,20
RIDER_11,"(26.89964, 80.68505)",Busy,20
RIDER_12,"(26.98499, 81.15981)",Busy,20
RIDER_13,"(26.76884, 80.80638)",Available,20
RIDER_14,"(26.76798, 80.58848)",Available,20
RIDER_15,"(27.14389, 81.05189)",Available,20
RIDER_16,"(27.13134, 80.88273)",Busy,20
RIDER_17,"(27.09096, 80.55582)",Available,20
RIDER_18,"(26.62289, 81.14103)",Available,20
RIDER_19,"(27.01875, 80.69569)",Available,20
RIDER_20,"(26.53039, 80.81119)",Busy,20
RIDER_21,"(26.93075, 80.6849)",Busy,20
RIDER_22,"(26.88433, 80.88177)",Available,20
RIDER_23,"(26.99909, 80.52145)",Busy,20
RIDER_24,"(26.66561, 80.83811)",Available,20
RIDER_25,"(26.89827, 81.05649)",Available,20
RIDER_26,"(26.62714, 80.86358)",Busy,20
RIDER_27,"(27.09907, 80.65427)",Available,20
RIDER_28,"(27.01868, 80.7019)",Busy,20
RIDER_29,"(26.66336, 80.61843)",Busy,20
RIDER_30,"(26.66897, 80.67796)",Available,20
RIDER_31,"(27.11938, 80.88597)",Available,20
RIDER_32,"(26.89077, 81.04361)",Available,20
RIDER_33,"(26.77755, 80.60122)",Busy,20
RIDER_34,"(27.13848, 80.86192)",Available,20
RIDER_35,"(26.82624, 81.06554)",Busy,20
RIDER_36,"(26.57337, 80.95698)",Available,20
RIDER_37,"(26.95924, 80.68702)",Busy,20
RIDER_38,"(26.82439, 80.92861)",Busy,20
RIDER_39,"(26.85157, 80.76572)",Busy,20
RIDER_40,"(26.74455, 80.58052)",Available,20
RIDER_41,"(26.55641, 81.06451)",Available,20
RIDER_42,"(26.63855, 81.01936)",Available,20
RIDER_43,"(26.97547, 81.21935)",Busy,20
RIDER_44,"(26.80999, 80.91648)",Busy,20
RIDER_45,"(26.56643, 80.8769)",Busy,20
RIDER_46,"(26.55361, 80.5848)",Available,20
RIDER_47,"(26.73533, 81.07493)",Busy,20
RIDER_48,"(27.06488, 81.19409)",Available,20
RIDER_49,"(26.52737, 80.96748)",Available,20
RIDER_50,"(26.65772, 81.16752)",Busy,20
